rank1,rank5,mAP,num_gallery,num_probe,queries_with_match,attack,protocol,method,gallery_requested,probe_requested,gallery_coverage,probe_coverage,probe_face_frame_coverage,coverage_adjusted_rank1
0.8318510283490829,0.9449694274596998,0.8169649173275227,3590.0,3598.0,3598.0,face,crossview_cam2,original,3600,3600,0.9972222222222222,0.9994444444444445,0.9405692303946631,0.831388888888889
0.04831107619795758,0.15435978004713274,0.05089026259671379,3590.0,2546.0,2546.0,face,crossview_cam2,face_blur,3600,3600,0.9972222222222222,0.7072222222222222,0.3215007425802839,0.034166666666666665
0.09342688330871492,0.2684638109305761,0.07553761443355424,3590.0,2708.0,2708.0,face,crossview_cam2,body_blur,3600,3600,0.9972222222222222,0.7522222222222222,0.4449151510724807,0.07027777777777777
0.006535947712418301,0.0457516339869281,0.04389526673441641,3590.0,153.0,153.0,face,crossview_cam2,body_pixel,3600,3600,0.9972222222222222,0.0425,0.011053490127334259,0.00027777777777777783
0.5237131289762869,0.7001156737998844,0.5525488696203578,3590.0,3458.0,3458.0,face,crossview_cam3,original,3600,3600,0.9972222222222222,0.9605555555555556,0.8338081874852724,0.5030555555555556
0.03879173290937997,0.1325914149443561,0.047269823087826436,3590.0,3145.0,3145.0,face,crossview_cam3,face_blur,3600,3600,0.9972222222222222,0.8736111111111111,0.5834707911141578,0.03388888888888889
0.04814814814814815,0.1433862433862434,0.04856234447288234,3590.0,1890.0,1890.0,face,crossview_cam3,body_blur,3600,3600,0.9972222222222222,0.525,0.24421070671151004,0.025277777777777777
0.008264462809917356,0.06611570247933884,0.049685689968021696,3590.0,121.0,121.0,face,crossview_cam3,body_pixel,3600,3600,0.9972222222222222,0.03361111111111111,0.004755682183329406,0.0002777777777777778
0.8780701754385964,0.9780701754385965,0.8918085881332548,1139.0,1140.0,1140.0,face,crosssetup,original,1140,1140,0.9991228070175439,1.0,0.9246775457849356,0.8780701754385964
0.11749680715197956,0.3448275862068966,0.10916854616056151,1139.0,783.0,783.0,face,crosssetup,face_blur,1140,1140,0.9991228070175439,0.6868421052631579,0.268794983253759,0.08070175438596491
0.22786304604486424,0.5088547815820543,0.1831352634008169,1139.0,847.0,847.0,face,crosssetup,body_blur,1140,1140,0.9991228070175439,0.7429824561403509,0.41409534668281905,0.1692982456140351
0.10810810810810811,0.32432432432432434,0.104616603787095,1139.0,37.0,37.0,face,crosssetup,body_pixel,1140,1140,0.9991228070175439,0.03245614035087719,0.006199672201239934,0.0035087719298245615
0.9791666666666666,0.9833333333333333,0.9797568416747657,240.0,240.0,240.0,face,crossrange,original,240,240,1.0,1.0,0.9507008216529724,0.9791666666666666
0.4391891891891892,0.5878378378378378,0.46093027710927226,240.0,148.0,148.0,face,crossrange,face_blur,240,240,1.0,0.6166666666666667,0.2808119864668922,0.27083333333333337
0.5165562913907285,0.7019867549668874,0.47425994446146574,240.0,151.0,151.0,face,crossrange,body_blur,240,240,1.0,0.6291666666666667,0.27114548090865154,0.32499999999999996
0.3,0.4,0.4831072254409805,240.0,10.0,10.0,face,crossrange,body_pixel,240,240,1.0,0.041666666666666664,0.005316578057032383,0.012499999999999999
