epoch,train_loss,val_top1,val_top5,val_mean_class_accuracy,val_samples
1,3.0834385373375635,0.5125,0.8363888888888888,0.5094556677890011,3600.0
2,1.5893699255856601,0.5986111111111111,0.8961111111111111,0.596324354657688,3600.0
3,1.2450294386256824,0.6280555555555556,0.9127777777777778,0.6260662177328844,3600.0
4,1.0687010179866443,0.6522222222222223,0.9241666666666667,0.6505611672278339,3600.0
5,0.9475914537906647,0.6538888888888889,0.93,0.6525252525252525,3600.0
6,0.8698584220626138,0.6633333333333333,0.9333333333333333,0.6616722783389449,3600.0
7,0.8052750121463429,0.6730555555555555,0.9369444444444445,0.6717452300785633,3600.0
8,0.7473501752723347,0.6783333333333333,0.9352777777777778,0.677384960718294,3600.0
9,0.6978578486225822,0.6758333333333333,0.9363888888888889,0.6746071829405162,3600.0
10,0.6742194863882932,0.6827777777777778,0.9383333333333334,0.6810886644219977,3600.0
11,0.6301015398719094,0.6855555555555556,0.9394444444444444,0.684287317620651,3600.0
12,0.5923662456599149,0.6897222222222222,0.9405555555555556,0.6886363636363637,3600.0
13,0.5652634284713052,0.6902777777777778,0.9408333333333333,0.689141414141414,3600.0
14,0.535333133556626,0.6908333333333333,0.9422222222222222,0.6894781144781145,3600.0
15,0.5133770975199613,0.6925,0.9411111111111111,0.6914421997755331,3600.0
16,0.49424886297095905,0.6963888888888888,0.9419444444444445,0.6954264870931536,3600.0
17,0.48400209979577496,0.6991666666666667,0.9416666666666667,0.6984567901234567,3600.0
18,0.4616607048294761,0.6952777777777778,0.9441666666666667,0.6946408529741863,3600.0
19,0.4445798139680516,0.6913888888888889,0.9438888888888889,0.6899831649831649,3600.0
20,0.4244934076612646,0.6977777777777778,0.9430555555555555,0.6967452300785635,3600.0
21,0.4080682857470079,0.6958333333333333,0.9430555555555555,0.6949775533108866,3600.0
22,0.40401773154735565,0.6980555555555555,0.9433333333333334,0.697053872053872,3600.0
23,0.39150627092881635,0.6969444444444445,0.94,0.6962121212121211,3600.0
24,0.3691013319925828,0.6952777777777778,0.9461111111111111,0.6941358024691359,3600.0
25,0.3655431108041243,0.7005555555555556,0.9430555555555555,0.6999438832772166,3600.0
26,0.3522857996550473,0.7,0.9422222222222222,0.6988776655443322,3600.0
27,0.3427424959161065,0.6930555555555555,0.9422222222222222,0.6920033670033671,3600.0
28,0.335175407203761,0.6966666666666667,0.9441666666666667,0.6956790123456789,3600.0
29,0.3210981664332477,0.6944444444444444,0.9436111111111111,0.6932098765432098,3600.0
30,0.31560300155119464,0.6994444444444444,0.9411111111111111,0.6980920314253647,3600.0
31,0.30666365271264856,0.6977777777777778,0.9430555555555555,0.6969696969696969,3600.0
32,0.3003191108053381,0.6938888888888889,0.9425,0.6924803591470259,3600.0
33,0.2890987694263458,0.6988888888888889,0.9425,0.6977553310886644,3600.0
34,0.2839002257043665,0.6972222222222222,0.9444444444444444,0.6959595959595961,3600.0
35,0.27653578465635126,0.7,0.9427777777777778,0.6993827160493827,3600.0
36,0.271329634568908,0.6972222222222222,0.9408333333333333,0.6962401795735128,3600.0
37,0.26439066231250763,0.6972222222222222,0.9413888888888889,0.6960718294051628,3600.0
