method,split,num_features,top1,top5,mean_class_accuracy,samples,retained_utility_top1
original,test_original_c2r2,3600,0.6780555555555555,0.9336111111111111,0.6781986531986531,3600.0,1.0
face_blur,test_original_c2r2,3600,0.6672222222222223,0.9272222222222222,0.6671156004489338,3600.0,0.984022941417452
body_blur,test_original_c2r2,3600,0.5958333333333333,0.8733333333333333,0.5949775533108866,3600.0,0.8787382220401475
body_pixel,test_original_c2r2,3600,0.38722222222222225,0.6741666666666667,0.3907968574635241,3600.0,0.5710774272839001
original,test_original_c3r2,3600,0.6227777777777778,0.9069444444444444,0.6238496071829405,3600.0,1.0
face_blur,test_original_c3r2,3600,0.6225,0.9027777777777778,0.6227553310886644,3600.0,0.9995539696699377
body_blur,test_original_c3r2,3600,0.5361111111111111,0.8452777777777778,0.536307519640853,3600.0,0.8608385370205174
body_pixel,test_original_c3r2,3600,0.355,0.6358333333333334,0.3571829405162738,3600.0,0.5700267618198037
