adversary,split,method,pool_size,seed,rank1,rank5,mAP
reid,crossview_cam2,original,15,13,0.9103174603174603,0.9476190476190476,0.689020149146751
reid,crossview_cam2,original,15,14,0.9272727272727272,0.9651515151515152,0.7597987654475417
reid,crossview_cam2,original,15,15,0.9594202898550724,0.9760869565217392,0.7454890485183575
reid,crossview_cam2,original,15,16,0.9008333333333334,0.9325,0.7361288797455088
reid,crossview_cam2,original,15,17,0.9179487179487179,0.9525641025641025,0.6549681358477241
reid,crossview_cam2,original,15,18,0.9204545454545454,0.9606060606060606,0.7173386662393749
reid,crossview_cam2,original,15,19,0.9283333333333333,0.96,0.7565060328761671
reid,crossview_cam2,original,15,20,0.9760869565217392,0.9826086956521739,0.7390971635999939
reid,crossview_cam2,original,15,21,0.9541666666666667,0.9694444444444444,0.7529719500809108
reid,crossview_cam2,original,15,22,0.9102564102564102,0.95,0.6673921681864365
reid,crossview_cam2,original,15,23,0.9507246376811594,0.9710144927536232,0.7603370258240053
reid,crossview_cam2,original,15,24,0.9434782608695652,0.9681159420289855,0.7327252949143467
reid,crossview_cam2,original,15,25,0.8973333333333333,0.95,0.6416392935783382
reid,crossview_cam2,original,15,26,0.9108695652173913,0.9485507246376812,0.6960745332132139
reid,crossview_cam2,original,15,27,0.9590277777777778,0.9777777777777777,0.697092809438856
reid,crossview_cam2,original,15,28,0.9381944444444444,0.9701388888888889,0.6345466368922529
reid,crossview_cam2,original,15,29,0.9111111111111111,0.9592592592592593,0.6870608465271973
reid,crossview_cam2,original,20,0,0.8458333333333333,0.9088541666666666,0.6296156981754822
reid,crossview_cam2,original,20,1,0.9275862068965517,0.9712643678160919,0.6969471149039503
reid,crossview_cam2,original,20,2,0.9133333333333333,0.9483333333333334,0.6795657779701078
reid,crossview_cam2,original,20,3,0.9344444444444444,0.9683333333333334,0.6813211242846822
reid,crossview_cam2,original,20,4,0.9444444444444444,0.9644444444444444,0.6840889060907401
reid,crossview_cam2,original,20,5,0.9302083333333333,0.9609375,0.6411680975820252
reid,crossview_cam2,original,20,6,0.8616161616161616,0.9196969696969697,0.6158608490055318
reid,crossview_cam2,original,20,7,0.8489583333333334,0.9270833333333334,0.6336051018504086
reid,crossview_cam2,original,20,8,0.8725490196078431,0.9259803921568628,0.6120149757747763
reid,crossview_cam2,original,20,9,0.888095238095238,0.9428571428571428,0.6967102354582009
reid,crossview_cam2,original,20,10,0.8963541666666667,0.95,0.6337319501787576
reid,crossview_cam2,original,20,11,0.8807291666666667,0.9354166666666667,0.6409773494736979
reid,crossview_cam2,original,20,12,0.9360215053763441,0.9655913978494624,0.6245466365518559
reid,crossview_cam2,original,20,13,0.8940860215053763,0.9419354838709677,0.6516755209368104
reid,crossview_cam2,original,20,14,0.9192708333333334,0.9541666666666667,0.6610311740693933
reid,crossview_cam2,original,20,15,0.8895833333333333,0.9484375,0.5963376884588212
reid,crossview_cam2,original,20,16,0.9161458333333333,0.9546875,0.6596121352187079
reid,crossview_cam2,original,20,17,0.9123655913978495,0.9548387096774194,0.6987338120345453
reid,crossview_cam2,original,20,18,0.8616161616161616,0.9196969696969697,0.6350985790736463
reid,crossview_cam2,original,20,19,0.8838888888888888,0.9277777777777778,0.6856976806170797
reid,crossview_cam2,original,20,20,0.9136363636363637,0.945959595959596,0.6252276191840691
reid,crossview_cam2,original,20,21,0.9150537634408602,0.9516129032258065,0.6575270522110542
reid,crossview_cam2,original,20,22,0.896969696969697,0.9525252525252526,0.6634953331929989
reid,crossview_cam2,original,20,23,0.9295698924731183,0.967741935483871,0.7293050879773304
reid,crossview_cam2,original,20,24,0.9140625,0.9541666666666667,0.6638029390394602
