adversary,split,method,pool_size,n_seeds,rank1_mean,rank1_std,rank5_mean,rank5_std,mAP_mean,mAP_std
reid,crossview_cam2,original,5,30,0.9635317460317461,0.036706560011788014,0.9814274691358025,0.025024964736053108,0.8267308764273924,0.07228674108884488
reid,crossview_cam2,original,10,30,0.9503053326818806,0.024395228519094432,0.9733839685259319,0.013170821957569733,0.7539477627802178,0.05160877007526141
reid,crossview_cam2,original,15,30,0.9196943186443186,0.02570347785871666,0.9564587394578941,0.01447078880343194,0.6967843192912431,0.04612422916590309
reid,crossview_cam2,original,20,30,0.9045449700563981,0.026842206754075414,0.9481685969592385,0.015999955145582032,0.6554746018155355,0.03145176305146148
reid,crossview_cam2,original,25,30,0.8872986834157672,0.016227149228193655,0.9405020608205246,0.009022752779201806,0.6225693208908862,0.02790566940035331
reid,crossview_cam2,original,30,30,0.8794924096331924,0.016151875828269345,0.9348895632112785,0.010611294653123708,0.6167381042314745,0.01764179935569303
reid,crossview_cam2,original,38,1,0.8530555555555556,0.0,0.9216666666666666,0.0,0.5819553564978368,0.0
reid,crossview_cam3,original,5,30,0.9597006172839506,0.03346492821480198,0.9840502645502645,0.015349441643782474,0.8086748433342733,0.074615758681708
reid,crossview_cam3,original,10,30,0.929741618926023,0.033812476708785684,0.9705838892574573,0.016988937192906145,0.719988497532195,0.04835772344883568
reid,crossview_cam3,original,15,30,0.901068784780258,0.034285189271903875,0.9626699383502524,0.017027444563465343,0.6623984115447511,0.05059103625079642
reid,crossview_cam3,original,20,30,0.8739868268306524,0.03118891413630762,0.9541706325818041,0.012256924273138577,0.617160732365735,0.030809857859748498
reid,crossview_cam3,original,25,30,0.8516752054322657,0.019582218738384016,0.9460886449177528,0.010277689790950815,0.5832288824889204,0.02802627819695257
reid,crossview_cam3,original,30,30,0.8384838403700123,0.01650213303150313,0.938854163524114,0.007786366993894967,0.5742444391068966,0.017472411251383064
reid,crossview_cam3,original,38,1,0.8061111111111111,0.0,0.9266666666666666,0.0,0.5360960233158116,0.0
reid,crosssetup,original,5,30,0.6739814814814815,0.09986267147942147,0.8404814814814814,0.06739596972559839,0.6503822892928068,0.08173192062556155
reid,crosssetup,original,10,30,0.5293131313131312,0.08134775660297149,0.7054949494949494,0.07348668052837937,0.5172874833696913,0.06362240565360702
reid,crosssetup,original,15,30,0.469613425925926,0.0418273087066774,0.629300925925926,0.034644732669118376,0.4529170369564941,0.030255007757778236
face,crossview_cam2,original,5,30,0.9653833447214832,0.06927469811848469,0.9929062738598469,0.01748783930628276,0.9307747078192942,0.033860677024056464
face,crossview_cam2,original,10,30,0.9530441283423073,0.05872575324163723,0.9894419379665135,0.011722069362441925,0.9078505493225311,0.03205844215799452
face,crossview_cam2,original,15,30,0.9138852156331614,0.04990820947545701,0.9752465373147223,0.014259387471684473,0.881392874414539,0.02588475853168915
face,crossview_cam2,original,20,30,0.8907266273361344,0.05156250140861269,0.9678810592339536,0.014840455398296775,0.8610667211473372,0.023926659155142627
face,crossview_cam2,original,25,30,0.8643843822824738,0.03254993281653273,0.9601135310944979,0.0086404819174767,0.8428879866938495,0.01714266166255776
face,crossview_cam2,original,30,30,0.8688535090104079,0.025543489292838596,0.9564129957077763,0.00932384438017646,0.8376875921152082,0.013428248747110138
face,crossview_cam2,original,38,1,0.8318510283490829,0.0,0.9449694274596998,0.0,0.8169649173275227,0.0
face,crossview_cam3,original,5,30,0.8556301755354191,0.09692327420158164,0.9384502275216509,0.05584797628748724,0.7733836424560664,0.06445215546381254
face,crossview_cam3,original,10,30,0.7974985391521268,0.08149067935726169,0.8982001336717199,0.05305730943573152,0.7172542376957237,0.05052117128933268
face,crossview_cam3,original,15,30,0.7114764227449037,0.08749975546117851,0.849447505024564,0.05294470621124134,0.6584675658578569,0.04394405524110999
face,crossview_cam3,original,20,30,0.6605358928192604,0.06903581015416564,0.812068442864791,0.043194397812382254,0.6265523344767494,0.031230166187600668
face,crossview_cam3,original,25,30,0.6005922391842629,0.043959152428882556,0.7704365328659356,0.02467603893119917,0.5992234465736278,0.02433353519051402
face,crossview_cam3,original,30,30,0.5906297422731234,0.03967546919452616,0.755527304484951,0.025638560564898986,0.5843808156016906,0.01736636704095597
face,crossview_cam3,original,38,1,0.5237131289762869,0.0,0.7001156737998844,0.0,0.5525488696203578,0.0
face,crosssetup,original,5,30,0.9709444444444444,0.034342186920304524,0.9909074074074075,0.005493137007558933,0.9511760406413273,0.0243904487606204
face,crosssetup,original,10,30,0.9272171717171717,0.03415877606780972,0.985520202020202,0.0032166642480693725,0.9292542394585166,0.02036609200755407
face,crosssetup,original,15,30,0.8970023148148147,0.024505730486744478,0.9805046296296298,0.002307530204508437,0.9031463918972119,0.010069830535567101
