rank1,rank5,mAP,num_gallery,num_probe,queries_with_match,attack,protocol,method,gallery_requested,probe_requested,gallery_coverage,probe_coverage,probe_person_frame_coverage,coverage_adjusted_rank1
0.8530555555555556,0.9216666666666666,0.5819553564978368,3600.0,3600.0,3600.0,reid,crossview_cam2,original,3600,3600,1.0,1.0,0.9992452462688384,0.8530555555555556
0.8466666666666667,0.9344444444444444,0.5606604451714567,3600.0,3600.0,3600.0,reid,crossview_cam2,face_blur,3600,3600,1.0,1.0,0.9992452462688384,0.8466666666666667
0.7208333333333333,0.8819444444444444,0.4684007897692,3600.0,3600.0,3600.0,reid,crossview_cam2,body_blur,3600,3600,1.0,1.0,0.9992452462688384,0.7208333333333333
0.49416666666666664,0.6913888888888889,0.3069547871073385,3600.0,3600.0,3600.0,reid,crossview_cam2,body_pixel,3600,3600,1.0,1.0,0.9992452462688384,0.49416666666666664
0.8061111111111111,0.9266666666666666,0.5360960233158116,3600.0,3600.0,3600.0,reid,crossview_cam3,original,3600,3600,1.0,1.0,0.9998286240654656,0.8061111111111111
0.8011111111111111,0.9261111111111111,0.5318499965081962,3600.0,3600.0,3600.0,reid,crossview_cam3,face_blur,3600,3600,1.0,1.0,0.9998286240654656,0.8011111111111111
0.6430555555555556,0.8275,0.41791568600072126,3600.0,3600.0,3600.0,reid,crossview_cam3,body_blur,3600,3600,1.0,1.0,0.9998286240654656,0.6430555555555556
0.35694444444444445,0.6097222222222223,0.23185574716202034,3600.0,3600.0,3600.0,reid,crossview_cam3,body_pixel,3600,3600,1.0,1.0,0.9998286240654656,0.35694444444444445
0.45263157894736844,0.6008771929824561,0.42787476917163486,1140.0,1140.0,1140.0,reid,crosssetup,original,1140,1140,1.0,1.0,0.9982184849996437,0.45263157894736844
0.47017543859649125,0.6359649122807017,0.41498767067263304,1140.0,1140.0,1140.0,reid,crosssetup,face_blur,1140,1140,1.0,1.0,0.9982184849996437,0.47017543859649125
0.35526315789473684,0.5140350877192983,0.3249788788413626,1140.0,1140.0,1140.0,reid,crosssetup,body_blur,1140,1140,1.0,1.0,0.9982184849996437,0.35526315789473684
0.26666666666666666,0.4026315789473684,0.25719827309898735,1140.0,1140.0,1140.0,reid,crosssetup,body_pixel,1140,1140,1.0,1.0,0.9982184849996437,0.26666666666666666
0.6208333333333333,0.7666666666666667,0.5684180351718261,240.0,240.0,240.0,reid,crossrange,original,240,240,1.0,1.0,1.0,0.6208333333333333
0.6291666666666667,0.75,0.5678370756667389,240.0,240.0,240.0,reid,crossrange,face_blur,240,240,1.0,1.0,1.0,0.6291666666666667
0.49166666666666664,0.8083333333333333,0.5636410755317767,240.0,240.0,240.0,reid,crossrange,body_blur,240,240,1.0,1.0,1.0,0.49166666666666664
0.5833333333333334,0.8416666666666667,0.5786576012218542,240.0,240.0,240.0,reid,crossrange,body_pixel,240,240,1.0,1.0,1.0,0.5833333333333334
