rank1,rank5,mAP,num_gallery,num_probe,queries_with_match,attack,protocol,method,gallery_requested,probe_requested,gallery_coverage,probe_coverage,coverage_adjusted_rank1
0.17982212340188994,0.41773207337409674,0.07375137268326526,3599.0,3598.0,3598.0,gait_identity,crossview_cam2,original,3600,3600,0.9997222222222222,0.9994444444444445,0.17972222222222223
0.1784324624791551,0.40967204002223456,0.07262040467752048,3599.0,3598.0,3598.0,gait_identity,crossview_cam2,face_blur,3600,3600,0.9997222222222222,0.9994444444444445,0.17833333333333334
0.10394663702056699,0.29043913285158424,0.061509752522736875,3599.0,3598.0,3598.0,gait_identity,crossview_cam2,body_blur,3600,3600,0.9997222222222222,0.9994444444444445,0.10388888888888889
0.0,0.09090909090909091,0.04075570072071563,3599.0,11.0,11.0,gait_identity,crossview_cam2,body_pixel,3600,3600,0.9997222222222222,0.0030555555555555557,0.0
0.06194444444444445,0.23722222222222222,0.0485776203283356,3599.0,3600.0,3600.0,gait_identity,crossview_cam3,original,3600,3600,0.9997222222222222,1.0,0.06194444444444445
0.06416666666666666,0.2361111111111111,0.048098569490598306,3599.0,3600.0,3600.0,gait_identity,crossview_cam3,face_blur,3600,3600,0.9997222222222222,1.0,0.06416666666666666
0.060833333333333336,0.2238888888888889,0.04704806342354777,3599.0,3600.0,3600.0,gait_identity,crossview_cam3,body_blur,3600,3600,0.9997222222222222,1.0,0.060833333333333336
0.08333333333333333,0.4583333333333333,0.05785703118545036,3599.0,24.0,24.0,gait_identity,crossview_cam3,body_pixel,3600,3600,0.9997222222222222,0.006666666666666667,0.0005555555555555556
0.14385964912280702,0.45087719298245615,0.10460743012999132,1140.0,1140.0,1140.0,gait_identity,crosssetup,original,1140,1140,1.0,1.0,0.14385964912280702
0.13157894736842105,0.4307017543859649,0.10379235356374374,1140.0,1140.0,1140.0,gait_identity,crosssetup,face_blur,1140,1140,1.0,1.0,0.13157894736842105
0.10964912280701754,0.3473684210526316,0.08740991874070171,1140.0,1140.0,1140.0,gait_identity,crosssetup,body_blur,1140,1140,1.0,1.0,0.10964912280701754
0.0,0.0,0.0,1140.0,0.0,0.0,gait_identity,crosssetup,body_pixel,1140,1140,1.0,0.0,0.0
0.4083333333333333,0.7791666666666667,0.4259674272833916,240.0,240.0,240.0,gait_identity,crossrange,original,240,240,1.0,1.0,0.4083333333333333
0.35833333333333334,0.8083333333333333,0.424194084452292,240.0,240.0,240.0,gait_identity,crossrange,face_blur,240,240,1.0,1.0,0.35833333333333334
0.39166666666666666,0.7041666666666667,0.432039597441069,240.0,240.0,240.0,gait_identity,crossrange,body_blur,240,240,1.0,1.0,0.39166666666666666
0.0,0.0,0.0,240.0,0.0,0.0,gait_identity,crossrange,body_pixel,240,240,1.0,0.0,0.0
