attack,protocol,method,conditional_metric,conditional_success,descriptor_coverage,end_to_end_success,product_check_error
temporal_silhouette_gaitbase,crossrange,body_blur,rank1_given_descriptor,0.3916666666666666,1.0,0.3916666666666666,0.0
temporal_silhouette_gaitbase,crossrange,body_pixel,rank1_given_descriptor,0.0,0.0,0.0,0.0
rgb_pose,crossview_cam2,original,identity_accuracy_given_descriptor,0.1075,1.0,0.1075,0.0
rgb_pose,crossview_cam2,face_blur,identity_accuracy_given_descriptor,0.1047222222222222,1.0,0.1047222222222222,0.0
rgb_pose,crossview_cam2,body_blur,identity_accuracy_given_descriptor,0.1069444444444444,1.0,0.1069444444444444,0.0
rgb_pose,crossview_cam2,body_pixel,identity_accuracy_given_descriptor,0.0077021822849807,0.2163888888888888,0.0016666666666666,5.637851296924623e-17
rgb_pose,crossview_cam3,original,identity_accuracy_given_descriptor,0.0458333333333333,1.0,0.0458333333333333,0.0
rgb_pose,crossview_cam3,face_blur,identity_accuracy_given_descriptor,0.0461111111111111,1.0,0.0461111111111111,0.0
rgb_pose,crossview_cam3,body_blur,identity_accuracy_given_descriptor,0.0416666666666666,1.0,0.0416666666666666,0.0
rgb_pose,crossview_cam3,body_pixel,identity_accuracy_given_descriptor,0.0759651307596513,0.2230555555555555,0.0169444444444444,3.8163916471489756e-17
rgb_pose,crosssetup,original,identity_accuracy_given_descriptor,0.0947368421052631,1.0,0.0947368421052631,0.0
rgb_pose,crosssetup,face_blur,identity_accuracy_given_descriptor,0.0912280701754386,1.0,0.0912280701754386,0.0
rgb_pose,crosssetup,body_blur,identity_accuracy_given_descriptor,0.1078947368421052,1.0,0.1078947368421052,0.0
rgb_pose,crosssetup,body_pixel,identity_accuracy_given_descriptor,0.08,0.2631578947368421,0.0210526315789473,6.938893903907228e-17
rgb_pose,crossrange,original,identity_accuracy_given_descriptor,0.2541666666666666,1.0,0.2541666666666666,0.0
rgb_pose,crossrange,face_blur,identity_accuracy_given_descriptor,0.2666666666666666,1.0,0.2666666666666666,0.0
rgb_pose,crossrange,body_blur,identity_accuracy_given_descriptor,0.3208333333333333,1.0,0.3208333333333333,0.0
rgb_pose,crossrange,body_pixel,identity_accuracy_given_descriptor,0.1212121212121212,0.1375,0.0166666666666666,6.591949208711867e-17
