train_method,epoch,train_loss,val_top1,val_top5,val_mean_class_accuracy,val_samples
deepprivacy2,1,3.2422959371046587,0.4502777777777778,0.7855555555555556,0.44840067340067336,3600
deepprivacy2,2,1.870312837037173,0.5327777777777778,0.8466666666666667,0.5305836139169472,3600
deepprivacy2,3,1.5308160836046392,0.5722222222222222,0.8730555555555556,0.5704264870931538,3600
deepprivacy2,4,1.3282258618961682,0.5808333333333333,0.8833333333333333,0.5783670033670032,3600
deepprivacy2,5,1.2119962573051453,0.6011111111111112,0.8908333333333334,0.5992704826038159,3600
deepprivacy2,6,1.1153708262877031,0.6019444444444444,0.8936111111111111,0.6000280583613917,3600
deepprivacy2,7,1.0497791848399423,0.6116666666666667,0.8963888888888889,0.6096520763187431,3600
deepprivacy2,8,0.983960590579293,0.6147222222222222,0.8997222222222222,0.613496071829405,3600
deepprivacy2,9,0.9257795783606443,0.6147222222222222,0.9011111111111111,0.6130471380471381,3600
deepprivacy2,10,0.8818465552546761,0.6216666666666667,0.9041666666666667,0.6196969696969696,3600
deepprivacy2,11,0.8439226015047594,0.6219444444444444,0.9044444444444445,0.6206790123456789,3600
deepprivacy2,12,0.8127272968942468,0.6244444444444445,0.9116666666666666,0.6226711560044893,3600
deepprivacy2,13,0.7677158659154718,0.6302777777777778,0.9077777777777778,0.6285914702581368,3600
deepprivacy2,14,0.741263974796642,0.6252777777777778,0.9052777777777777,0.6237654320987654,3600
deepprivacy2,15,0.7210740528323434,0.6288888888888889,0.9086111111111111,0.6270482603815938,3600
deepprivacy2,16,0.687918630513278,0.6302777777777778,0.9069444444444444,0.6290965207631875,3600
deepprivacy2,17,0.6725568039850756,0.6313888888888889,0.9097222222222222,0.6295454545454545,3600
deepprivacy2,18,0.6470547237179496,0.6266666666666667,0.9108333333333334,0.625084175084175,3600
deepprivacy2,19,0.62836984612725,0.6283333333333333,0.9080555555555555,0.626936026936027,3600
deepprivacy2,20,0.607792854309082,0.6297222222222222,0.9097222222222222,0.62847923681257,3600
deepprivacy2,21,0.5974484763362191,0.6297222222222222,0.9111111111111111,0.6279741863075196,3600
deepprivacy2,22,0.5744827579368245,0.6336111111111111,0.9127777777777778,0.6321829405162738,3600
deepprivacy2,23,0.5533753389661963,0.6322222222222222,0.9088888888888889,0.6308080808080807,3600
deepprivacy2,24,0.5476456961848519,0.6355555555555555,0.9147222222222222,0.6339506172839505,3600
deepprivacy2,25,0.5209251791238785,0.6280555555555556,0.9127777777777778,0.626571268237935,3600
deepprivacy2,26,0.5100618912415071,0.6338888888888888,0.9111111111111111,0.6322671156004489,3600
deepprivacy2,27,0.4972404024817727,0.6363888888888889,0.9113888888888889,0.6345398428731761,3600
deepprivacy2,28,0.4859505133195357,0.63,0.9122222222222223,0.6289001122334456,3600
deepprivacy2,29,0.4774984974752773,0.6322222222222222,0.9130555555555555,0.6306397306397306,3600
deepprivacy2,30,0.46692759611389856,0.6294444444444445,0.9138888888888889,0.6278900112233445,3600
deepprivacy2,31,0.45669667558236554,0.63,0.9138888888888889,0.6288439955106623,3600
deepprivacy2,32,0.44789525866508484,0.6325,0.9133333333333333,0.6306677890011223,3600
deepprivacy2,33,0.4362031004645608,0.6333333333333333,0.9083333333333333,0.631425364758698,3600
deepprivacy2,34,0.42481356317346747,0.6280555555555556,0.9119444444444444,0.6264029180695848,3600
deepprivacy2,35,0.41941376301375305,0.6322222222222222,0.9072222222222223,0.6306958473625139,3600
deepprivacy2,36,0.4094004360112277,0.6280555555555556,0.91,0.6265151515151515,3600
deepprivacy2,37,0.4015616070140492,0.6297222222222222,0.9113888888888889,0.6279741863075196,3600
deepprivacy2,38,0.393109990791841,0.6288888888888889,0.9088888888888889,0.6274971941638606,3600
deepprivacy2,39,0.38570338081229816,0.6316666666666667,0.9072222222222223,0.6298540965207631,3600
