method,split,num_features,top1,top5,mean_class_accuracy,samples,retained_utility_top1
original,test_original_c2r2,3600,0.6775,0.9336111111111111,0.6776936026936027,3600.0,1.0
deepprivacy2,test_original_c2r2,3600,0.4116666666666667,0.7058333333333333,0.41049382716049376,3600.0,0.6076260762607626
