method,split,action,feature_support,manifest_support,top1
original,test_original_c2r2,109,33,33,0.3939393939393939
original,test_original_c2r2,110,33,33,0.8181818181818182
original,test_original_c2r2,111,33,33,0.696969696969697
original,test_original_c2r2,112,33,33,0.9090909090909091
original,test_original_c2r2,113,33,33,0.8181818181818182
original,test_original_c2r2,114,33,33,1.0
original,test_original_c2r2,115,33,33,0.7878787878787878
original,test_original_c2r2,116,33,33,0.7878787878787878
original,test_original_c2r2,117,33,33,0.8484848484848485
original,test_original_c2r2,118,33,33,0.6363636363636364
original,test_original_c2r2,119,33,33,0.9393939393939394
original,test_original_c2r2,120,33,33,1.0
deepprivacy2,test_original_c2r2,1,27,27,0.037037037037037035
deepprivacy2,test_original_c2r2,2,27,27,0.07407407407407407
deepprivacy2,test_original_c2r2,3,27,27,0.07407407407407407
deepprivacy2,test_original_c2r2,4,27,27,0.3333333333333333
deepprivacy2,test_original_c2r2,5,27,27,0.6666666666666666
deepprivacy2,test_original_c2r2,6,27,27,0.7777777777777778
deepprivacy2,test_original_c2r2,7,27,27,0.4074074074074074
deepprivacy2,test_original_c2r2,8,27,27,0.14814814814814814
deepprivacy2,test_original_c2r2,9,27,27,0.25925925925925924
deepprivacy2,test_original_c2r2,10,27,27,0.037037037037037035
deepprivacy2,test_original_c2r2,11,27,27,0.25925925925925924
deepprivacy2,test_original_c2r2,12,27,27,0.07407407407407407
deepprivacy2,test_original_c2r2,13,27,27,0.25925925925925924
deepprivacy2,test_original_c2r2,14,27,27,1.0
deepprivacy2,test_original_c2r2,15,27,27,0.2962962962962963
deepprivacy2,test_original_c2r2,16,27,27,0.6296296296296297
deepprivacy2,test_original_c2r2,17,27,27,0.4074074074074074
deepprivacy2,test_original_c2r2,18,27,27,0.07407407407407407
deepprivacy2,test_original_c2r2,19,27,27,0.037037037037037035
deepprivacy2,test_original_c2r2,20,27,27,0.4444444444444444
deepprivacy2,test_original_c2r2,21,27,27,0.2962962962962963
deepprivacy2,test_original_c2r2,22,27,27,0.9629629629629629
deepprivacy2,test_original_c2r2,23,27,27,0.037037037037037035
deepprivacy2,test_original_c2r2,24,27,27,0.7407407407407407
deepprivacy2,test_original_c2r2,25,27,27,0.2962962962962963
deepprivacy2,test_original_c2r2,26,27,27,0.9259259259259259
deepprivacy2,test_original_c2r2,27,27,27,0.7407407407407407
deepprivacy2,test_original_c2r2,28,27,27,0.037037037037037035
deepprivacy2,test_original_c2r2,29,27,27,0.25925925925925924
deepprivacy2,test_original_c2r2,30,27,27,0.5185185185185185
deepprivacy2,test_original_c2r2,31,27,27,0.0
deepprivacy2,test_original_c2r2,32,27,27,0.14814814814814814
deepprivacy2,test_original_c2r2,33,27,27,0.1111111111111111
deepprivacy2,test_original_c2r2,34,27,27,0.037037037037037035
deepprivacy2,test_original_c2r2,35,27,27,0.14814814814814814
deepprivacy2,test_original_c2r2,36,27,27,0.5925925925925926
deepprivacy2,test_original_c2r2,37,27,27,0.6666666666666666
deepprivacy2,test_original_c2r2,38,27,27,0.3333333333333333
deepprivacy2,test_original_c2r2,39,27,27,0.18518518518518517
deepprivacy2,test_original_c2r2,40,27,27,0.1111111111111111
deepprivacy2,test_original_c2r2,41,27,27,0.2222222222222222
deepprivacy2,test_original_c2r2,42,27,27,0.9259259259259259
deepprivacy2,test_original_c2r2,43,27,27,0.9629629629629629
deepprivacy2,test_original_c2r2,44,27,27,0.25925925925925924
deepprivacy2,test_original_c2r2,45,27,27,0.037037037037037035
deepprivacy2,test_original_c2r2,46,27,27,0.14814814814814814
