epoch,train_loss,val_top1,val_top5,val_mean_class_accuracy,val_samples
1,3.0834227258508857,0.5125,0.8363888888888888,0.5095117845117845,3600.0
2,1.5893519466573542,0.5991666666666666,0.8955555555555555,0.5968855218855219,3600.0
3,1.2450113459066912,0.6283333333333333,0.9127777777777778,0.6263187429854097,3600.0
4,1.0686929009177468,0.6519444444444444,0.9241666666666667,0.6503086419753087,3600.0
5,0.9475801126523451,0.6538888888888889,0.93,0.6525252525252525,3600.0
6,0.8698564090512015,0.6630555555555555,0.9333333333333333,0.6613636363636364,3600.0
7,0.805257336659865,0.6727777777777778,0.9369444444444445,0.6714927048260381,3600.0
8,0.7473441064357758,0.6780555555555555,0.9352777777777778,0.6770763187429854,3600.0
9,0.6978478052399375,0.6758333333333333,0.9366666666666666,0.6746071829405162,3600.0
10,0.6742028079249642,0.6827777777777778,0.9383333333333334,0.6810886644219977,3600.0
11,0.6300794157114896,0.6858333333333333,0.9394444444444444,0.6845959595959596,3600.0
12,0.5923585945909674,0.6891666666666667,0.9402777777777778,0.6880751964085298,3600.0
13,0.5652414804155176,0.6908333333333333,0.9408333333333333,0.6896464646464646,3600.0
14,0.5353002995252609,0.6905555555555556,0.9422222222222222,0.6892255892255892,3600.0
15,0.5133544911037792,0.6925,0.9411111111111111,0.6914983164983165,3600.0
16,0.4942240498282693,0.6958333333333333,0.9419444444444445,0.6948653198653197,3600.0
17,0.4839808263561942,0.6988888888888889,0.9416666666666667,0.6982042648709315,3600.0
18,0.4616390263492411,0.695,0.9438888888888889,0.6943322109988777,3600.0
19,0.4445630068128759,0.6911111111111111,0.9438888888888889,0.6896745230078563,3600.0
20,0.4244728237390518,0.6975,0.9427777777777778,0.6963804713804714,3600.0
21,0.4080633277242834,0.6955555555555556,0.9427777777777778,0.6947811447811447,3600.0
22,0.4040177437392148,0.6975,0.9433333333333334,0.6964365881032548,3600.0
23,0.39148653095418756,0.6972222222222222,0.9405555555555556,0.6964646464646463,3600.0
24,0.36908143013715744,0.6955555555555556,0.9461111111111111,0.6944444444444445,3600.0
25,0.3655354841188951,0.7008333333333333,0.9430555555555555,0.7001402918069585,3600.0
26,0.3522596169601787,0.7,0.9425,0.6988776655443322,3600.0
27,0.34273200820792804,0.6927777777777778,0.9422222222222222,0.6917508417508418,3600.0
28,0.3351667103442279,0.6969444444444445,0.9441666666666667,0.6959315375982041,3600.0
29,0.32107506692409515,0.6944444444444444,0.9436111111111111,0.6932659932659931,3600.0
30,0.3155788223851811,0.6991666666666667,0.9411111111111111,0.6978395061728394,3600.0
31,0.3066290413791483,0.6977777777777778,0.9430555555555555,0.6969696969696969,3600.0
32,0.30029483274980023,0.6941666666666667,0.9425,0.692732884399551,3600.0
33,0.2890782369808717,0.6986111111111111,0.9425,0.6973905723905723,3600.0
34,0.28388459845022723,0.6975,0.9444444444444444,0.6962121212121212,3600.0
35,0.27650891786271875,0.7005555555555556,0.9427777777777778,0.7,3600.0
36,0.2712998694994233,0.6966666666666667,0.9408333333333333,0.6956228956228955,3600.0
37,0.2643613781441342,0.6966666666666667,0.9413888888888889,0.6955667789001122,3600.0
