split,method,utility_model,training_domain,features,expected,coverage,top1,top5,mean_class_accuracy,checkpoint
test_original_c2r2,original,rgb_extracted_pose_mlp,original,3600,3600,1.0,0.5122222222222222,0.7955555555555556,0.5132996632996633,artifacts/features/rgb_pose_identity/models/rgb_pose_action_head.pt
test_original_c2r2,deepprivacy2,rgb_extracted_pose_mlp,original,3600,3600,1.0,0.4791666666666667,0.7591666666666667,0.4810606060606061,artifacts/features/rgb_pose_identity/models/rgb_pose_action_head.pt
